Marca temporal,Row,Genre,Discipline,"1. Tengo la capacidad de encontrar asociaciones entre las variables, condiciones y restricciones en un proyecto.",2. Identifico datos de mi disciplina y de otras áreas que contribuyen a resolver problemas.,3. Participo en proyectos que se tienen que resolver utilizando perspectivas Inter/multidisciplinarias.,4. Organizo información para resolver problemas.,5. Me agrada conocer perspectivas diferentes de un problema.,6. Me inclino por estrategias para comprender las partes y el todo de un problema.,7.  Tengo la capacidad de Identificar los componentes esenciales de un problema para formular una pregunta de investigación.,8. Conozco la estructura y los formatos para elaborar reportes de investigación que se utilizan en mi área o disciplina. ,9. Identifico la estructura de un artículo de investigación que se maneja en mi área o disciplina.,10. Identifico los elementos para formular una pregunta de investigación.,11. Diseño instrumentos de investigación coherentes con el método de investigación utilizado.,12. Formulo y pruebo hipótesis de investigación.,13. Me inclino a usar datos científicos para analizar problemas de investigación.,14. Tengo la capacidad para analizar críticamente problemas desde diferentes perspectivas.,15.Identifico la fundamentación de juicios propios y ajenos para reconocer argumentos falsos.,16. Autoevalúo  el nivel de avance y logro de mis metas para hacer los ajustes necesarios.,17. Utilizo razonamientos basados en el conocimiento científico para emitir juicios ante un problema.,18. Me aseguro de revisar los lineamientos éticos de los proyectos en los que participo.,19. Aprecio críticas en el desarrollo de proyectos para mejorarlos.,20. Conozco los criterios para determinar un problema.,"21. Tengo la capacidad de identificar las variables, de diversas disciplinas, que pueden ayudar a responder preguntas.",22. Aplico soluciones innovadoras a diversas problemáticas.,23. Soluciono problemas interpretando datos de diferentes disciplinas.,24. Analizo problemas de investigación contemplando el contexto para crear soluciones.,25. Tiendo a evaluar con sentido crítico e innovador las soluciones derivadas de un problema.
2025/01/13 6:29:01 p.m.,1,Hombre,Adminsitracion y negocios,3,3,4,4,4,3,4,1,3,3,1,4,4,3,3,4,4,3,3,3,3,3,4,4,4
2025/01/13 6:29:10 p.m.,2,Mujer,Administraci�n y negocios,3,3,3,3,3,4,1,2,2,1,2,2,4,3,2,2,0,2,3,2,3,3,3,3,1
2025/01/13 6:29:42 p.m.,3,Hombre,Administraci�n y negocios,3,3,1,4,3,1,3,4,3,2,3,2,4,1,3,1,3,2,4,3,3,3,3,4,4
2025/01/13 6:30:10 p.m.,4,Hombre,Administraci�n y negocios,3,3,4,3,4,4,3,1,3,3,2,3,4,4,3,1,3,4,4,4,3,1,3,4,4
2025/01/13 6:30:47 p.m.,5,Hombre,Ingenieria y tecnologia,4,3,3,4,4,3,1,1,1,3,1,3,3,4,3,3,1,4,3,3,4,3,3,3,3
2025/01/13 6:30:47 p.m.,6,Hombre,Administraci�n y negocios,3,3,4,4,4,1,3,3,1,3,3,3,3,4,3,1,3,1,1,3,3,3,3,3,3
2025/01/13 6:30:50 p.m.,7,Hombre,Administraci�n y negocios,3,3,3,4,3,3,3,3,1,3,3,1,3,1,1,1,1,3,3,1,3,1,1,3,1
2025/01/13 6:31:25 p.m.,8,Hombre,Administraci�n y negocios,4,4,3,4,4,4,4,3,3,1,3,1,3,3,3,3,3,4,3,3,4,3,4,3,3
2025/01/13 6:31:48 p.m.,9,Hombre,Administraci�n y negocios,4,4,4,4,4,3,3,4,1,3,1,4,4,3,3,1,3,1,3,4,4,2,3,4,4
2025/01/13 6:32:19 p.m.,10,Mujer,Administraci�n y negocios,3,4,4,4,4,4,3,3,3,4,3,3,2,4,3,4,3,4,4,1,2,3,3,3,3
2025/01/13 6:32:22 p.m.,11,Hombre,Administraci�n y negocios,3,3,3,3,3,3,1,1,4,1,2,2,2,3,3,3,4,1,4,3,3,3,3,4,4
2025/01/13 6:32:34 p.m.,12,Hombre,Administraci�n y negocios,4,2,4,4,4,4,1,4,4,4,1,3,3,1,4,4,3,2,3,3,2,2,2,1,1
2025/01/13 6:33:26 p.m.,13,Mujer,Ingenieria y tecnologia,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,1,3,4,4
2025/01/13 6:34:19 p.m.,14,Mujer,Administraci�n y negocios,3,3,4,3,4,3,4,3,1,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
2025/01/13 7:37:24 p.m.,15,Mujer,Administraci�n y negocios,4,3,4,3,3,4,3,3,3,3,1,1,3,3,4,3,3,4,3,3,3,3,3,4,3
2025/01/27 8:34:02 p.m.,16,Hombre,Administraci�n y negocios,3,4,4,4,3,3,4,1,3,3,3,3,4,3,1,3,4,2,3,4,3,4,4,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
