Marca temporal,Nombre completo,Género,País de residencia,Disciplina de los estudios que estoy realizando,Grado académico que está cursando,Nombre del curso en el que participa,Nombre del profesor,"1. Tengo la capacidad de encontrar asociaciones entre las variables, condiciones y restricciones en un proyecto.",2. Identifico datos de mi disciplina y de otras áreas que contribuyen a resolver problemas.,3. Participo en proyectos que se tienen que resolver utilizando perspectivas Inter/multidisciplinarias.,4. Organizo información para resolver problemas.,5. Me agrada conocer perspectivas diferentes de un problema.,6. Me inclino por estrategias para comprender las partes y el todo de un problema.,7.  Tengo la capacidad de Identificar los componentes esenciales de un problema para formular una pregunta de investigación.,8. Conozco la estructura y los formatos para elaborar reportes de investigación que se utilizan en mi área o disciplina. ,9. Identifico la estructura de un artículo de investigación que se maneja en mi área o disciplina.,10. Identifico los elementos para formular una pregunta de investigación.,11. Diseño instrumentos de investigación coherentes con el método de investigación utilizado.,12. Formulo y pruebo hipótesis de investigación.,13. Me inclino a usar datos científicos para analizar problemas de investigación.,14. Tengo la capacidad para analizar críticamente problemas desde diferentes perspectivas.,15.Identifico la fundamentación de juicios propios y ajenos para reconocer argumentos falsos.,16. Autoevalúo  el nivel de avance y logro de mis metas para hacer los ajustes necesarios.,17. Utilizo razonamientos basados en el conocimiento científico para emitir juicios ante un problema.,18. Me aseguro de revisar los lineamientos éticos de los proyectos en los que participo.,19. Aprecio críticas en el desarrollo de proyectos para mejorarlos.,20. Conozco los criterios para determinar un problema.,"21. Tengo la capacidad de identificar las variables, de diversas disciplinas, que pueden ayudar a responder preguntas.",22. Aplico soluciones innovadoras a diversas problemáticas.,23. Soluciono problemas interpretando datos de diferentes disciplinas.,24. Analizo problemas de investigación contemplando el contexto para crear soluciones.,25. Tiendo a evaluar con sentido crítico e innovador las soluciones derivadas de un problema.
2025/01/13 6:29:01 p.m. GMT-6,1,Hombre,México,Administración y negocios,Maestría,Master in Business Analytics,Juan Antonio Enciso Gonzalez,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2025/01/13 6:29:10 p.m. GMT-6,2,Mujer,Mexico,Administración y negocios,Maestría,Liderazgo y Ggestión para la transformación organizacional,    Juan Antonio Enciso Gonzalez /Laura Icela González Pérez,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Poco de acuerdo,Poco de acuerdo,Ni de acuerdo ni en desacuerdo,Poco de acuerdo,Poco de acuerdo,Totalmente de acuerdo,De acuerdo,Poco de acuerdo,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,De acuerdo,Poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2025/01/13 6:29:42 p.m. GMT-6,3,Hombre,México,Administración y negocios,Maestría,"Evento del calendario Liderazgo y gestión para la transformación organizacional Sesion 2, a las lunes, 13 de enero de 2025 18:00 hasta las 21:00Liderazgo y gestión para la transformación organizacional ",Juan Antonio Enciso,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Poco de acuerdo,De acuerdo,Poco de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Poco de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2025/01/13 6:30:10 p.m. GMT-6,4,Hombre,MEXICO,Administración y negocios,Maestría,LIDERAZGO Y GESTION PARA LA TRANSFORMACION ORGANIZACIONAL,Juan Antonio Enciso González y Laura Icela González,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Poco de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2025/01/13 6:30:47 p.m. GMT-6,5,Hombre,México,Ingeniería y tecnología,Maestría,Liderazgo y gestión para la transformación organizacional,Juan Antonio Enciso González,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2025/01/13 6:30:47 p.m. GMT-6,6,Hombre,México,Administración y negocios,Maestría,MBD,Juan Antonio Enciso ,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2025/01/13 6:30:50 p.m. GMT-6,7,Hombre,México,Administración y negocios,Maestría,Analítica de Negocios,Juan Antonio Enciso,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2025/01/13 6:31:25 p.m. GMT-6,8,Hombre,México,Administración y negocios,Maestría,MBD,uan Antonio Enciso Gonzalez /Laura Icela González Pérez,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo
2025/01/13 6:31:48 p.m. GMT-6,9,Hombre,México,Administración y negocios,Maestría,Liderazgo y gestión para la transformación organizacional,Juan Antonio Enciso González y Laura Icela González Pérez,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Poco de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2025/01/13 6:32:19 p.m. GMT-6,10,Mujer,Mexico,Administración y negocios,Maestría,Liderazgo y gestión para la transformación organizacional ,Juan Antonio Enciso Gonzalez /Laura Icela González Pérez,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Poco de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
